ELECTIONABBR	PRECINCTID	PRECINCTPORTION	VOTINGPRECINCT	MAILBALLOT	ABSENTEEPRECINCT	BALLOTTYPE
2025Nov   	59046  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59047  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59048  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59049  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59050  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59051  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59052  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59053  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59054  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59055  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59056  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59057  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59058  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59059  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59060  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59061  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59063  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59064  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59069  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59070  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59071  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59072  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59073  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59074  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59075  		1502    1502 - Hanford 1	0	8001502	1
2025Nov   	59076  		1501    1501 - Hanford 1	0	8001501	1
2025Nov   	59077  		1501    1501 - Hanford 1	0	8001501	1
