OFFICIAL ELECTION RESULTS
Imperial
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"482043MB","PROPOSITION 50","YES","0","0.00%"
"482043MB","PROPOSITION 50","NO","0","0.00%"
"482044MB","PROPOSITION 50","YES","0","0.00%"
"482044MB","PROPOSITION 50","NO","0","0.00%"
"482045MB","PROPOSITION 50","YES","0","0.00%"
"482045MB","PROPOSITION 50","NO","0","0.00%"
"482046MB","PROPOSITION 50","YES","0","0.00%"
"482046MB","PROPOSITION 50","NO","0","0.00%"
"482047MB","PROPOSITION 50","NO","1","100.00%"
"482047MB","PROPOSITION 50","YES","0","100.00%"
"482048MB","PROPOSITION 50","YES","0","0.00%"
"482048MB","PROPOSITION 50","NO","0","0.00%"
"482049MB","PROPOSITION 50","YES","1","50.00%"
"482049MB","PROPOSITION 50","NO","0","50.00%"
"482050MB","PROPOSITION 50","YES","1","20.00%"
"482050MB","PROPOSITION 50","NO","0","20.00%"
"482051MB","PROPOSITION 50","YES","0","0.00%"
"482051MB","PROPOSITION 50","NO","0","0.00%"
"482101MB","PROPOSITION 50","YES","0","0.00%"
"482101MB","PROPOSITION 50","NO","0","0.00%"
"482110MB","PROPOSITION 50","NO","14","54.29%"
"482110MB","PROPOSITION 50","YES","5","54.29%"
"482112MB","PROPOSITION 50","YES","0","0.00%"
"482112MB","PROPOSITION 50","NO","0","0.00%"
"483020MB","PROPOSITION 50","YES","122","33.28%"
"483020MB","PROPOSITION 50","NO","90","33.28%"
"483021","PROPOSITION 50","YES","266","28.32%"
"483021","PROPOSITION 50","NO","167","28.32%"
"483022MB","PROPOSITION 50","YES","0","0.00%"
"483022MB","PROPOSITION 50","NO","0","0.00%"
"483023MB","PROPOSITION 50","YES","59","26.98%"
"483023MB","PROPOSITION 50","NO","39","26.98%"
"483024MB","PROPOSITION 50","YES","0","0.00%"
"483024MB","PROPOSITION 50","NO","0","0.00%"
"483025MB","PROPOSITION 50","YES","0","0.00%"
"483025MB","PROPOSITION 50","NO","0","0.00%"
"483026MB","PROPOSITION 50","YES","0","0.00%"
"483026MB","PROPOSITION 50","NO","0","0.00%"
"483027MB","PROPOSITION 50","YES","1","200.00%"
"483027MB","PROPOSITION 50","NO","1","200.00%"
"483028MB","PROPOSITION 50","YES","0","0.00%"
"483028MB","PROPOSITION 50","NO","0","0.00%"
"483113MB","PROPOSITION 50","NO","30","64.41%"
"483113MB","PROPOSITION 50","YES","8","64.41%"
"483138MB","PROPOSITION 50","NO","2","25.00%"
"483138MB","PROPOSITION 50","YES","1","25.00%"
